latitude,longitude,shock
51.1091583,17.0512733,4484
51.1084516,17.0502666,6575
51.1083950,17.0500483,6819
51.1082316,17.0494066,5683
51.1080650,17.0491883,3703
51.1077600,17.0488383,3793
51.1076066,17.0486366,6019
51.1074666,17.0469316,4389
51.1073516,17.0455683,5105
51.1070150,17.0443366,3066
51.1069400,17.0438633,5735
51.1069983,17.0434933,3288
51.1054066,17.0393883,4786
51.1051833,17.0381216,5955
51.1051983,17.0367783,4548
51.1052933,17.0358100,4485
51.1054433,17.0337200,9706
51.1054833,17.0334550,4929
51.1055533,17.0327283,7033
51.1057283,17.0317700,6234
51.1058300,17.0312350,4775
51.1060950,17.0303816,7700
51.1061900,17.0301316,3188
51.1063966,17.0295200,3334
51.1064700,17.0292350,5015
51.1063733,17.0286466,3397
51.1061883,17.0281666,4415
51.1059850,17.0278333,5549
51.1070783,17.0253200,3147
51.1071549,17.0251783,5145
51.1080366,17.0231283,4856
51.1080816,17.0226500,4253
51.1080350,17.0224200,5859
51.1080033,17.0218716,7294
51.1080133,17.0217316,4277
51.1088950,17.0181750,3330
51.1090600,17.0173350,5130
51.1118016,17.0032883,3083
51.1106083,17.0933316,7794
51.1107866,17.0931366,3854
51.1111233,17.0926916,4269
51.1113900,17.0923300,10208
51.1115266,17.0921866,3461
51.1116666,17.0920083,5407
51.1119000,17.0917400,6363
51.1121133,17.0914183,4925
51.1122966,17.0912016,4579
51.1123933,17.0910916,6546
51.1124816,17.0909750,5172
51.1125800,17.0908400,3179
51.1126883,17.0906916,4702
51.1128066,17.0905450,5040
51.1129133,17.0904000,5378
51.1131416,17.0900966,3220
51.1125866,17.0854783,5404
51.1132766,17.0855016,3863
51.1139683,17.0850483,3867
51.1142900,17.0842066,7095
51.1143433,17.0836816,3039
51.1137416,17.0821583,4384
51.1137416,17.0810900,3466
51.1140300,17.0793250,4383
51.1140783,17.0790766,3361
51.1140883,17.0788883,5268
51.1141450,17.0784216,5686
51.1141650,17.0781733,3965
51.1141933,17.0779133,6668
51.1142749,17.0771200,8211
51.1143166,17.0768750,3921
51.1150766,17.0752566,3221
51.1151783,17.0742599,5278
51.1148933,17.0738266,4975
51.1148300,17.0732600,3943
51.1148066,17.0728083,5656
51.1145866,17.0713933,6105
51.1144300,17.0708316,4278
51.1121616,17.0627216,6688
51.1120450,17.0621766,4684
51.1116016,17.0613483,3733
51.1115166,17.0611483,5037
51.1113916,17.0610166,4481
51.1112483,17.0608966,5407
51.1111350,17.0607366,6456
51.1111033,17.0603150,4021
51.1110800,17.0599100,3424
51.1110466,17.0596833,3865
51.1109633,17.0594916,4209
51.1108816,17.0592083,5301
51.1106416,17.0580133,3714
51.1102083,17.0561750,5394
51.1097066,17.0535533,9095
51.1093650,17.0519183,5023
51.1093050,17.0516833,4250
51.1091350,17.0512049,4775
51.1084633,17.0502733,6634
51.1083850,17.0500250,3677
51.1082983,17.0497383,7398
51.1081900,17.0494083,3435
51.1080350,17.0491733,3332
51.1077283,17.0488433,6360
51.1073550,17.0476050,3409
51.1073666,17.0473366,6442
51.1074083,17.0469150,7298
51.1074650,17.0467266,4793
51.1072500,17.0443099,3926
51.1073350,17.0433766,4723
51.1078016,17.0415083,3823
51.1078500,17.0413033,4985
51.1078466,17.0411700,7800
51.1077700,17.0389950,5009
51.1078116,17.0387500,5510
51.1078700,17.0385000,3493
51.1078516,17.0376266,4753
51.1077300,17.0368833,3406
51.1076400,17.0365516,5910
51.1072500,17.0335816,3907
51.1080950,17.0295450,5755
51.1082216,17.0296083,7056
51.1083366,17.0296466,5597
51.1084916,17.0296983,5331
