latitude,longitude,shock
51.1092183,17.0515816,0
51.1092066,17.0514950,2703
51.1091583,17.0512733,4484
51.1090500,17.0510600,0
51.1089400,17.0508433,0
51.1088150,17.0506600,1180
51.1087016,17.0504833,0
51.1085700,17.0503949,0
51.1084516,17.0502666,6575
51.1083950,17.0500483,6819
51.1083383,17.0497566,2730
51.1082316,17.0494066,5683
51.1080650,17.0491883,3703
51.1079050,17.0490383,2371
51.1077600,17.0488383,3793
51.1076066,17.0486366,6019
51.1074766,17.0484000,0
51.1074150,17.0474216,0
51.1074200,17.0472433,1046
51.1074666,17.0469316,4389
51.1075200,17.0467283,0
51.1075300,17.0465083,0
51.1074983,17.0462766,0
51.1074500,17.0460400,0
51.1074083,17.0458016,0
51.1073516,17.0455683,5105
51.1072933,17.0453233,0
51.1072316,17.0450783,2165
51.1071583,17.0448716,0
51.1071016,17.0446750,0
51.1070483,17.0444883,950
51.1070150,17.0443366,3066
51.1069950,17.0442266,0
51.1069700,17.0441950,0
51.1069633,17.0441916,0
51.1069600,17.0441916,0
51.1069550,17.0441883,937
51.1069450,17.0441766,0
51.1069550,17.0440583,2192
51.1069400,17.0438633,5735
51.1069533,17.0436850,1780
51.1069983,17.0434933,3288
51.1070433,17.0432866,381
51.1070600,17.0431233,0
51.1070633,17.0429550,0
51.1070850,17.0427616,0
51.1071116,17.0425900,0
51.1071366,17.0424550,1459
51.1071666,17.0423350,0
51.1071683,17.0422733,0
51.1071716,17.0422566,0
51.1071700,17.0422383,0
51.1071816,17.0419700,0
51.1071950,17.0418266,0
51.1072050,17.0417333,0
51.1072200,17.0416716,0
51.1072250,17.0415933,0
51.1072450,17.0413750,0
51.1072433,17.0411566,0
51.1071600,17.0409766,2611
51.1070550,17.0408666,0
51.1069250,17.0407633,0
51.1067833,17.0406633,2154
51.1065883,17.0405649,0
51.1064033,17.0404583,0
51.1062300,17.0403533,0
51.1060833,17.0401700,253
51.1059483,17.0399566,0
51.1058050,17.0397983,1654
51.1056416,17.0397350,976
51.1055066,17.0396233,992
51.1054066,17.0393883,4786
51.1053233,17.0391283,1033
51.1052433,17.0387933,0
51.1052200,17.0383583,0
51.1052200,17.0383583,2085
51.1052033,17.0383050,0
51.1051900,17.0382850,0
51.1051883,17.0382850,0
51.1051883,17.0382850,0
51.1051883,17.0382850,0
51.1051866,17.0382850,0
51.1051866,17.0382816,0
51.1051866,17.0382800,0
51.1051866,17.0382783,0
51.1051866,17.0382749,0
51.1051883,17.0382599,0
51.1051866,17.0382516,0
51.1051866,17.0382466,0
51.1051883,17.0382483,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382550,0
51.1051900,17.0382533,0
51.1051833,17.0381216,5955
51.1050966,17.0379383,2060
51.1050416,17.0377233,0
51.1050800,17.0374216,0
51.1051450,17.0371950,0
51.1051983,17.0367783,4548
51.1052350,17.0364383,2615
51.1052683,17.0361250,0
51.1052933,17.0358100,4485
51.1053083,17.0354999,1930
51.1053283,17.0351966,1871
51.1053466,17.0348933,1121
51.1053816,17.0345966,2066
51.1054016,17.0342966,2038
51.1054266,17.0340016,2040
51.1054433,17.0337200,9706
51.1054833,17.0334550,4929
51.1054800,17.0331883,1360
51.1055016,17.0329633,1602
51.1055533,17.0327283,7033
51.1056116,17.0324816,0
51.1056533,17.0322483,0
51.1056883,17.0320016,2763
51.1057283,17.0317700,6234
51.1057483,17.0315850,0
51.1057883,17.0314333,1026
51.1058300,17.0312350,4775
51.1059283,17.0309683,0
51.1060183,17.0306666,0
51.1060950,17.0303816,7700
51.1061900,17.0301316,3188
51.1062966,17.0298283,1229
51.1063966,17.0295200,3334
51.1064700,17.0292350,5015
51.1064583,17.0289300,1089
51.1063733,17.0286466,3397
51.1062950,17.0283816,0
51.1061883,17.0281666,4415
51.1060766,17.0279883,0
51.1059850,17.0278333,5549
51.1059349,17.0276416,997
51.1060133,17.0274633,0
51.1061250,17.0272933,1069
51.1062100,17.0270966,0
51.1063150,17.0268883,0
51.1064300,17.0266833,2339
51.1065366,17.0264916,0
51.1066516,17.0262666,0
51.1068000,17.0260183,0
51.1068916,17.0257750,0
51.1069550,17.0256566,0
51.1069816,17.0256083,0
51.1069900,17.0255833,0
51.1070316,17.0254800,0
51.1070783,17.0253200,3147
51.1071549,17.0251783,5145
51.1072450,17.0250533,1138
51.1073200,17.0248883,0
51.1073966,17.0246983,0
51.1074616,17.0245266,0
51.1075566,17.0242916,0
51.1076216,17.0241233,1166
51.1076916,17.0239533,0
51.1077833,17.0237483,0
51.1078716,17.0235349,0
51.1079566,17.0233150,1396
